2024-08-10 08:10:18.349 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.minalz.example.SampleTest], using SpringBootContextLoader
2024-08-10 08:10:18.355 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.minalz.example.SampleTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-10 08:10:18.356 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.minalz.example.SampleTest]: SampleTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-08-10 08:10:18.475 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.minalz.threadpool.ThreadPoolTest], using SpringBootContextLoader
2024-08-10 08:10:18.476 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.minalz.threadpool.ThreadPoolTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-10 08:10:18.553 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-08-10 08:10:18.567 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2dc9b0f5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6531a794, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3b5fad2d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5e17553a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3eb91815, org.springframework.test.context.transaction.TransactionalTestExecutionListener@56dc1551, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@102cec62, org.springframework.test.context.event.EventPublishingTestExecutionListener@74f6c5d8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@27912e3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@34b9f960, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@43015c69, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@19b89d4, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4bbf6d0e]
2024-08-10 08:10:18.575 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.minalz.example.SampleTest], using SpringBootContextLoader
2024-08-10 08:10:18.576 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.minalz.example.SampleTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-10 08:10:18.576 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.minalz.example.SampleTest]: SampleTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-08-10 08:10:18.584 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.minalz.threadpool.ThreadPoolTest], using SpringBootContextLoader
2024-08-10 08:10:18.585 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.minalz.threadpool.ThreadPoolTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-10 08:10:18.587 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
